Component,GrantView_id,Grant Name,Grant Number,Grant Abstract,Grant Type,Grant Theme Name,Grant Institution Name,Grant Institution Alias,Grant Investigator,Grant Consortium Name,Grant Start Date,Grant End Date,NIH RePORTER Link,Duration of Funding,Embargo End Date,Grant Synapse Team,Grant Synapse Project,Id,entityId
GrantView,CA264611,Systems analysis of mechanisms driving response to immunotherapy in clear cell cancers,CA264611,"Clear cell ovarian cancer (ccOC) is a rare and lethal cancer with few treatment options. Based on molecular analysis ccOC appears intrinsically immunogenic but with an immunosuppressive tumor microenvironment, similar to other ovarian cancer types. However, ccOC is very distinct from high grade serous ovarian carcinoma. Strikingly, it is similar in gene expression profiles to more frequent clear cell renal cell carcinomas (ccRCC), suggesting that clear cell cancers share intrinsic mechanistic or microenvironment properties, not just morphological appearance. Around 25% of ccRCC respond well to immune checkpoint inhibitors (ICIs), but markers for predicting response are lacking. The objective response rate for monotherapy pembrolizumab in one study was 33.3% for ccOC patients; but, in general, it is unknown which clear cell cancer patients could benefit from ICI treatment. Recent work has shown that tumor behavior is driven not just by cellular composition, but also by the spatial organization of different cell types including immune and stromal cells, as well as malignant cells themselves. Knowledge of clear cell cancer tumor microenvironments and their spatial architecture is lacking. Addressing this gap will improve our understanding of mechanisms of response to ICIs in clear cell cancers, including rare ones like ccOC, and improve selection of patients for immunotherapy. This study will use systems biology approaches to (i) elucidate and compare the cell types and their transcriptional states present in ccOC and ccRCC; (ii) characterize the spatial architecture of these cells within tumors using the CODEX (CODetection by indEXing) single cell proteomic imaging platform; and (iii) model and validate cell-cell interactions in the spatial tumor microenvironment that drive clear cell cancer response to immunotherapy through extensions of causal signaling inference algorithms to incorporate spatial context, and to optimize experimental validations in mouse models that maximize the information gain about interaction networks. Similar intrinsic and tumor microenvironmental features shared by ccOC and ccRCC, will nominate common mechanisms of immunotherapy response, and identify the subset of both who might benefit from treatment with ICIs. Successful development and application of these methods to clear cell cancers will establish a framework that can be applied to other cancer types, notably to rare ones. The expected outcome of this proposal is a comprehensive definition and dissection of the tumor microenvironment of ccRCC and ccOC. It will identify common features and mechanisms between these clear cell cancers, providing a basis to extend the approach to other classes of cancer, opening new avenues for treatment, particularly in rare cancer types",U01,Microenvironment,Stanford University,Stanford,Andrew J. Gentles,CSBC,9/13/22,8/31/27,https://reporter.nih.gov/search/fdFx0sCDd0m0RhT2ontMpQ/projects,4,,https://www.synapse.org/#!Team:3471177,https://www.synapse.org/#!Synapse:syn43447098,e45285ee-278f-4992-81ac-5633cad848f8,syn53259587
GrantView,CA264620,Mechanism of estrogen independent proliferation in ER+ breast cancer cells,CA264620,"Combining cyclin-dependent kinase (CDK) inhibitors with endocrine therapy improves outcomes for metastatic estrogen receptor positive (ER+), HER2 negative, breast cancer patients. However, the value of this combination in potentially curable earlier stage patients is variable. Our preliminary results examined the evolutionary trajectories of early stage breast cancer tumors using single cell transcriptomic profiling of serial tumor biopsies from a clinical trial of preoperative endocrine therapy alone (letrozole) or in combination with the cell cycle inhibitor ribociclib. Resistant tumors with accelerated loss of estrogen signaling show up-regulation of the JNK pathway, while those that maintain estrogen signaling during therapy show potentiation of CDK4/6 activation consistent with ERBB4 and ERK signaling up-regulation. Cell cycle reconstruction identified that tumors cells can reactivate during combination treatment, indicating stronger selection for a proliferative state. We hypothesize that resistance to CDK4/6 inhibition in earlier stage breast cancer is driven by JNK MAPK pathway stimulation and reactivation of the cell cycle through promotion of CDK6 expression or decreased cell cycle inhibitor function. In Aim 1, we will use a new mechanistic model of CDK4/6 regulation by cell cycle Inhibitors and Promoters (CIP) that couples estrogen and JNK signaling with cell cycle progression to measure the mechanisms driving cell cycle activation in a series of isogenic cell lines sensitive and resistant to CDK4/6 and endocrine inhibitors and in patient tumor cells. This analysis will reveal how distinct signaling pathways contribute to cell cycle reactivation during estrogen, CDK4/6 and JNK inhibition treatments and provide signatures of each resistant mechanism across cell types, over time and between systems. Aim 2 leverages our collection of patient tumors from the FELINE clinical trial to discover the intracellular and intratumoral resistance mechanisms driving proliferation. Fundamental resistance mechanisms will be measured in over ~300,000 patient cells from 360 tumor samples using single cell RNA sequencing data already in hand to identify core intracellular signaling states that act alone or in concert to drive proliferation. Next, the population of cells within each tumor will be analyzed to quantify intratumoral heterogeneity and how resistant populations differ in growing or shrinking tumors during drug treatment. Applying CIP to project proliferation across patient tumor cells will allow prediction of inhibitor strategies that most effectively block intracellular and intratumoral proliferation. Lastly, Aim 3 will apply a series of JNK pathway drugs with clinical potential to design and test treatment strategies that maintain durable inhibition of proliferation in ER+ cancer cells. Iterative feedback between mathematical models and patient/experimental data serves to provide a deep understanding of cell cycle regulation and mechanisms of dysregulation leading to resistance. Together, these experiments will reveal the balance between estrogen and alternative mediated JNK signaling, and their roles in resistance and provide a guide for therapeutic regimes with more durable control of cancer cell proliferation.",U01,Drug Resistance/Sensitivity,City Of Hope,COH,Aritro Nath,CSBC,9/1/21,8/31/26,https://reporter.nih.gov/search/lY6Md1QQV0u6ueh7E0cucw/projects,4,,https://www.synapse.org/#!Team:3471140,https://www.synapse.org/#!Synapse:syn32406002,078a5c09-af9f-4d65-9ee1-44a405d173ce,syn53259587
GrantView,CA267170,Engineered Colon Cancer Tissue to Examine the Role of the Obese Microenvironment in Tumor Aggressiveness,CA267170,"Modulation of the tumor microenvironment is known to promote the growth and survival of colorectal cancer (CRC) cells. Strong epidemiological evidence links certain types of human cancer, including CRC, with obesity, and the obese pathophysiological state has been shown experimentally to stimulate CRC tumor growth. However, the mechanisms involved are not fully known: in particular, the impact of the obese tumor microenvironment on CRC tumor cellular composition, stiffness, and ECM composition is not known. Further, pathophysiologically relevant, patient-specific models for investigating obesity-linked inflammation mediated changes in the obese, tumor microenvironment do not exist for CRC. Thus, the objective of the proposed project is to examine modulation of the tumor microenvironment and obesity-related CRC disease progression using tissue-engineered patient derived xenograft (PDX) CRC models validated through comparison to patient tumors and PDX tumors. Our collaborative team will achieve this objective by leveraging their unique combined interdisciplinary expertise in CRC, tissue engineering, obesity and metabolic disease, transcriptomics, proteomics, and bioinformatics. We will use our improved models of CRC that replicate the cues found in the obese, insulin resistant/pro- inflammatory tumor microenvironment to test the hypothesis that obesity alters stromal signaling in the consensus molecular subtype 4 (CMS4) tumor microenvironment. To test our hypothesis, we have developed a tissue-engineered platform that enables long-term in vitro culture of the patient-derived CRC cells and recapitulation of the native tumor microenvironment, particularly the stromal component. The following Specific Aims will be pursued: Aim 1. Determine the extent to which 3D in vitro engineered CMS4-derived CRC tissues recapitulate patient and PDX tumors; Aim 2. Determine and compare the obesity mediated changes in the stromal component and metastatic properties of CMS4-derived 3D engineered tissues and PDX tumors; and Aim 3. Examine 3D engineered tissues, PDX tumors, and patient tumors from obese CRC patients for engineered tissue refinement and obesity model validation. This investigator-initiated research effort is in response to FOA PAR-19-113, Cancer Tissue Engineering Collaborative: Enabling Biomimetic Tissue-Engineered Technologies for Cancer Research. Overall, these efforts, which employ state-of-the-art technologies to characterize and compare our paired models and human patient tumors in an in-depth and rigorous manner, will develop a portable tissue-engineering platform with robust cross-validation so that this tool can be used to uncover CRC subtype specific mechanisms of obesity-driven tumor progression, as well as other parameters affecting CRC morbidity and mortality",R01,Microenvironment,Auburn University,AU,"Elizabeth A. Lipke, Michael W. Greene",TEC,7/1/22,6/30/27,https://reporter.nih.gov/search/F3BWR9lmMk2RIGQorxu1MA/projects,4,,https://www.synapse.org/#!Team:3471175,https://www.synapse.org/#!Synapse:syn43447070,321e23b8-644a-4c79-913e-50f68b58fe9f,syn53259587
GrantView,CA268069,Center for Multiparametric Imaging of Tumor Immune Microenvironments,CA268069,"This project proposes an integrated suite of microscopy and data analysis advances that would enable quantitative, mechanistic analysis of immune-microenvironment dynamics in poor prognosis solid tumors. While immunotherapies are showing remarkable clinical responses in some advanced cancers, to date, their impact on many solid tumors has been modest. This is due, in part, to solid tumor microenvironments limiting the effectiveness of natural immune responses and immunotherapies. Yet, our understanding of the physical and molecular mechanisms governing T cell infiltration, distribution, and function in native tumor microenvironments remains extremely limited. As such, defining key T cell behaviors as a function of complex tumor microenvironments will identify design criteria that can be used to develop novel cell engineering strategies that optimize T cell-centric therapies for solid tumors. To this end the research theme of the U54 Center for Multiparametric Imaging of Tumor Immune Microenvironments (C-MITIE) is to define physical and molecular barriers to effective anti-tumor immunity and immunotherapies through advancement and development of state-of-the-art live cell and tissue optical imaging platforms and quantitative analyses. To achieve our goals, our framework brings together advanced optical imaging platforms, nano- and micro- fabrication, genome engineering, cancer immunology, and biophysical modeling. Thus, from this integrated effort we seek to define mechanisms of immune suppression that guide the development of next-generation cell-based immunotherapies.",U54,"Tumor-Immune, Microenvironment, Platform Development, Immunotherapy",University of Minnesota,UMinn,"Paolo Provenzano, Kevin Eliceiri",CCBIR,12/9/21,11/30/26,https://reporter.nih.gov/search/QXpqbsDvaEqzHlL8r4qs2Q/projects,4,,https://www.synapse.org/#!Team:3471155,https://www.synapse.org/#!Synapse:syn35270513,6128166d-3f8e-4e10-a5ed-9ce372dd3e92,syn53259587
GrantView,CA268072,Imaging mechanisms of metastatic tumor formation in situ,CA268072,"In response to the RFA for a Cellular Cancer Biology Imaging Program we propose a program focused on imaging and molecularly probing the cell biological events that drive the formation of new metastatic tumors. Specifically, we will address two questions: 1) How does the intersection of shifts in cell-intrinsic and cell- extrinsic signals associated with shifts in expression of the membrane adaptor protein Caveolin-1 affect the metastatic propensity of pediatric sarcoma (Research Testbed Unit 1)? 2) What are the effects of cell-intrinsic and cell-extrinsic variation in lipid metabolism on melanoma metastasis patterns (Research Testbed Unit 2)? Answers to both questions depend on technology to capture the molecular, metabolic, and morphological states of individual metastatic cells as they colonize the distant site: In the Technology Development Unit-1 we will develop a multi-modal, multi-scale live imaging platform to investigate the effects of intersecting microenvironmental variation across an organism and cell intrinsic heterogeneity on metastatic spreading. The platform will leverage the exquisite optical and physiological properties of the zebrafish embryos to ‘watch’ at once how cells form human tumor xenografts spread to multiple distant sites where they form metastatic tumors. The microscope will allow seamless switching between a high-throughput screening mode observing the metastatic patterns in tens to hundreds of embryos in one experiment and a high-resolution imaging mode with fully isotropic resolution of 300 nm in XYZ that allows detailed analysis of the molecular, metabolic, morphologic, and proliferation/survival states of individual cells within an emerging metastatic niche. In the Technology Development Unit-2 we will develop a multi-scale imaging platform to investigate by hyper-spectral analysis the molecular, metabolic, morphological, and functional states of metastatic cells across entire mouse organs. The platform will leverage advances in tissue clearing, fully automated high-speed and high-resolution light-sheet fluorescence imaging, and computer vision, to integrate a mesoscopic imaging mode for fast acquisition of volumes of up to 20 x 20 x 20 mm at a ~5-10 micron isotropic resolution with a nanoscopic imaging mode providing 300 nm XYZ-resolution throughout a 300 micron field of view anywhere in the organ. Biological features can thus be rapidly identified and immediately interrogated with high subcellular resolution. We will then develop physically and chemically accelerated 60-plex cyclic immunofluorescence assays to comprehensively characterize the molecular, metabolic and architectural states of colonizing cells and their surroundings in the metastatic niche in thick (~200 microns) tissue sections. To accurately describe metastatic heterogeneity, the entire system, including sample handling, labeling, and imaging, will be fully automated and operated in a high-throughput fashion. Our goal with this system is to enable comprehensive profiling of heterogeneous cell metastatic cell behavior in 100’s of intact tissue specimens. Together, these platforms will generate versatile imaging tools for a new era of in situ cancer cell biology.",U54,"Metastasis, Platform Development",University of Texas Southwestern Medical Center,UT Southwestern,Gaudenz Danuser,CCBIR,9/24/21,8/31/26,https://reporter.nih.gov/search/hCSbQx1MFkqHbNhTVL_p0Q/projects,4,,https://www.synapse.org/#!Team:3471158,https://www.synapse.org/#!Synapse:syn35270528,658de3ea-2367-4485-a817-eb05fbc26adb,syn53259587
GrantView,CA268083,Center for 3D Imaging in Cancer Cell Biology,CA268083,"The mortality rates of breast and pancreatic cancers are intrinsically tied to metastasis. In pancreatic cancer, the 5-year survival rate is only 9% and in ~70% pathological evaluations of the resected tumor, instances of venous invasion are found. Metastasis is a complex multi-step process involving cancer cells, local vasculature, and the surrounding microenvironment at multiple sites. Venous invasion in pancreatic cancer, in which cancer cells gain often invade the portal vein, is an early step in this process and provides the cells a direct path to the liver, the most common site of pancreatic cancer metastasis. As in pancreatic cancer, invasion past normal breast tissue barriers is critically tied to breast cancer outcomes. Most breast tumors can be surgically removed, and so mortality is closely tied to the extent of distant metastasis through lymphovascular invasion. The detection of lymphovascular invasion in a breast tumor correlates with poor prognosis and is not captured in current molecular analyses. The spatial organization of cancer cells, and cellular and stromal components of the tumor microenvironment near and far away from blood vessels is intrinsically three-dimensional, non-symmetric, and highly heterogeneous. In the TECH units of the Johns Hopkins Center for 3D Multiscale Cancer Imaging, we will develop a versatile 3D multiscale imaging method, CODA, which will allow us to probe the phenotypic heterogeneity of tumors from the multi-cm to the micron scale via multiplexing serial imaging. CODA can readily incorporate other imaging modalities to extract high cellular/molecular content from 3D samples. These include immunocytochemistry (CODA+IHC), immunofluorescence (CODA+IF), imaging mass cytometry (CODA+IMC) and spatial transcriptomics/proteomics (CODA+DBiT-seq). These proposed expanded versions of CODA offer a unique opportunity to produce new 3D multi-omic maps of human PDAC and breast tumors near and far from blood vessels. CODA and its integrated versions CODA+X will be tested in the RTB units of the Center in both human/mouse tissue samples and organoids, in breast and pancreatic cancer. Results from these test beds will provide novel mechanistic insights into venous invasion in breast and pancreatic cancer. Exploiting our extensive experience in data dissemination, we will make the large datasets and software produced by our CODA+X platforms and software widely available to the larger cancer research community. The units of the Center will be co-led by Johns Hopkins/Yale engineers, scientists and physicians. Substantial additional support will be provided by the Johns Hopkins U., the JH School of Medicine, the Institute for Convergence, the Department of Pathology, and the Whiting School of Engineering.",U54,"Metastasis, Microenvironment, Method/Assay Development",Johns Hopkins University,JHU,"Denis Wirtz, Laura Wood",CCBIR,12/1/21,11/30/26,https://reporter.nih.gov/search/9F0-hU2bhUeerme-DbTgeQ/projects,4,,https://www.synapse.org/#!Team:3471157,https://www.synapse.org/#!Synapse:syn35270523,4057f273-40d7-49db-9101-182cdb6bf023,syn53259587
GrantView,CA268084,Northwestern University Center for Chromatin NanoImaging in Cancer (NU-CCNIC),CA268084,"Cancer stem cells (CSCs) play a critical role in fostering tumor resistance to therapies and relapse after treatment. This presents a crucial barrier to the development of successful anti-cancer therapeutics. Transcriptional reprogramming and plasticity play a critical role in and out of the CSC state, which in turn are interdependent on the regulatory function of the three-dimensional (3D) structure of chromatin, epigenetic states, and other molecular events. Our understanding of fundamental CSC biology has been hampered by the need for cellular nanoscale imaging technologies that provide both highly detailed structural information regarding 3D chromatin organization and highly multiplexed molecular imaging of the many molecular regulators and events involved in CSC processes. We propose to establish the Northwestern University Center for Chromatin Nanoimaging in Cancer (NU-CCNIC) to address this fundamental technology gap in cellular nanoscale imaging and deploy the new technologies to address the fundamental knowledge gap in CSC biology. The Center converges experts in cellular nanoscale imaging, computational imaging, molecular modeling, computational genomics, CSC biology, and oncology. The Center will develop, test, validate, iterate, and deploy an integrated and co-registered Multi-scale Chromatin Nanoimaging Platform that will comprise three “nested-doll” imaging techniques: chromatin scanning transmission electron microscopy, optical spectroscopic super-resolution nanoscopy, and optical spectroscopic nanosensing. The Nanoimaging Platform will enable quantitative imaging of chromatin structure and highly multiplexed molecular and gene-specific localization, at the most fundamental length-scale approaching 1 nm resolution, including the imaging of statistically significant cell populations and live cells with high temporal resolution over prolonged temporal follow-up times. The Nanoimaging Platform will be bridged to computational genomics, epigenomics, genome mapping, and predictive transcriptional modeling datasets. These technologies will be deployed to answer several long-standing open questions in CSC biology. We will elucidate whether CSCs can originate from non-CSCs via transcriptional reprogramming, test the role of chromatin structure in fostering transcriptional plasticity in CSC processes, and explore the possibility of transcriptionally reprogramming CSCs to exit the stem-state as a new therapeutic strategy. All aspects of the technology development will be guided by the needs of the CSC biology testbed through a series of research feedback loops. In the long term, such single-cell nanoimaging technologies will help comprehensive understanding of the complex interplay between structural, physico-chemical, and molecular genomic events. We anticipate that these convergence studies will provide new insights into CSC biology, which are impossible to reveal with the use of any single method, and open new opportunities for identifying therapeutic strategies.",U54,"Epigenetics, Platform Development, Computational Model Development",Northwestern University,NU,"Vadim Backman, Daniela Matei, Hao Zhang",CCBIR,12/10/21,11/30/26,https://reporter.nih.gov/search/-4Lmu16cEEuWvxMGSRdiTA/projects,4,,https://www.synapse.org/#!Team:3471156,https://www.synapse.org/#!Synapse:syn35270769,96f92cc4-fffe-4ac0-8689-5a4e2d55c92d,syn53259587
GrantView,CA271273,Interrogation of the Impact of Selection on the Evolution of Human Pancreatic Cancer Precursor Lesions,CA271273,"Pancreatic cancer arises from precancerous lesions that are curable if detected and treated early enough. Recent multi-region genomic analyses of one type of precancerous pancreatic lesion, intraductal papillary mucinous neoplasm (IPMN), suggest unique evolutionary and selective pressures in IPMNs compared to invasive cancers, underscoring the potential importance of selection in the progression of precancerous lesions. We propose to characterize the role of selective forces in IPMNs using comprehensive molecular analyses and computational data integration of both human IPMN tissue samples and organoid cultures. We will determine the molecular features of progressed subclones in human IPMN samples using multi-region whole genome sequencing and RNA-sequencing. In addition, we will develop and apply novel multi-omics computational methods to integrate DNA and RNA-sequencing data to delineate selective forces in human IPMNs. We will determine the function of progressed clones identified by whole genome DNA sequencing with gene signatures inferred from bulk transcriptional data in a new semi-supervised framework. We will then employ a three-dimensional in vitro organoid culture model of human IPMN cells to characterize the relative contributions of selective pressures over time. We will use combined DNA sequencing and single-cell RNA- sequencing to identify gene expression signatures of progressed subclones in our organoid model, further adapting our computational framework to single cell RNA-sequencing data. Taken together, the proposed studies combine direct analysis of human tissue samples and manipulation of human precancerous cells in three-dimensional culture with novel multi-omics computational integration to greatly expand our knowledge of the role of selection in pancreatic cancer precursor lesions",U01,"Computational Model Development, Experimental Model Development, Tumor Progression",Johns Hopkins University,JHU,"Laura Delong Wood, Elana Judith Fertig, Rachel Karchin",CSBC,9/15/22,8/31/27,https://reporter.nih.gov/search/KvO6bP6zuE6mKnEuguO4gw/projects,4,,https://www.synapse.org/#!Team:3471178,https://www.synapse.org/#!Synapse:syn43447109,bc8d787b-71a2-4cac-bad7-5d30fa3b2b9f,syn53259587
GrantView,CA274492,The Center for Tumor-Immune Systems Biology at MSKCC,CA274492,"The advent of cancer immunotherapies based on immune checkpoint blockade (ICB) has revolutionized clinical care in multiple solid tumor types and demonstrated the power of the immune system to target and eliminate cancer cells. Despite these breakthroughs, the efficacy of ICB-based immunotherapy is limited to a subset of cancers, and even in tumors where ICB is now the standard of care, only a fraction of patients achieve durable complete responses. Addressing these limitations requires (1) improving our fundamental understanding of tumor-immune interactions in immunological contexts where current immunotherapies fail and (2) developing novel strategies for enhancing responses in contexts where they have only partial success. The Center for Tumor-Immune Systems Biology at MSKCC has assembled a multi-disciplinary team of leading investigators in computational biology, immunology, and cancer biology to tackle these challenges. The Center is organized around three Research Projects that integrate computational and experimental studies in mouse models and molecular analyses in patient tumors in both immunotherapy-resistant and -responsive contexts, exploiting novel machine learning modeling of single-cell multiome, highly multiplexed optical imaging using confocal immunofluorescence, and spatial transcriptomic data sets. We will investigate distinct immune microenvironments where cancers are refractory to ICB: metastatic colonization of the brain, an immune- privileged organ where the interplay of cancer cells, astrocytes, and different states of disease-associated microglia dictate modes of invasion (Project I); and mismatch-repair proficient primary colon cancer, where tumors reside in a tolerizing microenvironment and interact with complex cellular circuits of regulatory and conventional T cells, together with metastases to the lymph node and liver (Project II). We will also carry out a systems biology interrogation of cancer cell death mechanisms in models of ICB-responsive melanoma and renal cell carcinoma, based on findings that engineering mitochondrial damage-dependent but caspase- independent cell death elicits anti-cancer immunity and protection against tumor rechallenge (Project III). A Shared Resource Core will interact with all three Research Projects to develop computational methods and establish technologies for spatial analyses of the tumor-immune microenvironment. These studies will advance our fundamental understanding of tumor-immune ecosystems in ICB-refractory microenvironments and of immune responses to therapeutically induced immunogenic cancer cell death in ICB-responsive settings, ultimately leading to novel immunotherapeutic targets and combination strategies. Our team will build on the successes of our previous CSBC U54 Center award for the Center for Cancer Systems Immunology at MSKCC, which produced numerous high-impact studies at the forefront of systems biology and cancer immunology. Our Research Center will also carry out innovative outreach and training activities to disseminate research findings in tumor-immune systems biology and to train young scientists in this critical field",U54,"Immunotherapy, Tumor-Immune, Computational Model Development",Memorial Sloan Kettering Cancer Center,MSKCC,"Christina S. Leslie, Alexander Y. Rudensky",CSBC,9/16/22,8/31/27,https://reporter.nih.gov/search/mzMWYXpOU0qJlpU6FBYDQQ/projects,4,,https://www.synapse.org/#!Team:3471180,https://www.synapse.org/#!Synapse:syn43447131,d7747b3d-eceb-482a-9618-da9c79ca4a95,syn53259587
GrantView,CA274494,"Multi-Consortia Coordinating Center (MC2 Center) for Cancer Biology: Building Interdisciplinary Scientific Communities, Coordinating Impactful Resource Sharing, and Advancing Cancer Research",CA274494,"Systems Biology has been an instrumental approach to overcoming challenges in biomedical research, where solutions arise from interdisciplinary efforts, shared resources (data, tools, models, expertise) and integrative analyses. The NCI Division of Cancer Biology (DCB) has created multiple consortia comprising interdisciplinary communities of scientists who aim to integrate approaches, data, and tools to address important questions in basic and translational cancer research. The Multi-Consortia Coordinating (MC2) Center for Cancer Biology will work across programs to motivate engagement and collaboration, support resource sharing, and disseminate knowledge and resources to the broader scientific community. The MC2 Center will operate through three hubs. The Collaboration Hub will use evidence-based strategies to catalyze interactions and new collaborations. An evaluation framework will be developed with quantitative and qualitative metrics to ensure the center continuously improves its impact. Community engagement activities will include working groups, special interest groups, DREAM Challenges, and Ideation Jams, all of which will have mechanisms for ensuring inclusion and promoting diversity. To facilitate sharing of resources from DCB programs, the Resource Coordination Hub will ensure all resources are findable, accessible, interoperable and reusable (FAIR); it will identify or develop open and FAIR standards and best practices; provide training on how to implement these standards and practices in the cancer research community; and provide tooling and interfaces to facilitate resource sharing, curation, and deposition in public repositories. Finally, the Outreach Hub will enhance dissemination of knowledge and resources through training materials to maximize utilization of tools and short courses and workshops that bring concepts and resources from across the DCB programs together, enabling the broader community to experience the power of an integrative interdisciplinary approach to cancer. The Cancer Complexity Knowledge Portal will continue to provide open access to all data, tools, and other resources generated through the DCB and MC2, highlighting discoveries and enabling exploration into the many valuable resources generated by DCB programs",U24,Computational Resource,Sage Bionetworks,Sage,"Jineta Banerjee, James Eddy",Sage Bionetworks,9/14/22,8/31/27,https://reporter.nih.gov/search/02a8_m_snUq7Z0yuCMt-iw/projects,4,,https://www.synapse.org/#!Team:3471174,https://www.synapse.org/#!Synapse:syn43447051,7e8f6126-12b1-439a-beb1-d66b46398781,syn53259587
GrantView,CA274499,Systems Analysis of Stress-adapted Cancer Organelles (SASCO) Center,CA274499,"Oncogene activation is modulated by normal subcellular compartments that execute specialized functions related to hallmark cancer phenotypes. These organelles must adapt to oncogenic stress in order for tumors to initiate and progress, but there is little to no systems-level understanding of how such adaptations occur and what vulnerabilities might be created. The Systems Analysis of Stress-adapted Cancer Organelles (SASCO) Center at the University of Virginia will address this challenge by mechanistic modeling of organellar processes that iterates with quantitative experiments in disease-relevant cell cultures and primary tumors. The working SASCO Center hypothesis is that organelle-specific adaptation to oncogenic stress occurs through a few critical bottlenecks, which become identifiable once the relevant signaling, metabolic, and transport pathways have been properly integrated. The Center brings together 14 investigators with primary and collaborative track records in cancer biology, systems biology, genetically engineered mouse models of cancer, and clinical practice. Three Research Projects and one Shared Research Core will pursue a common research strategy, which leverages mechanistic models to test competing alternative hypotheses about how organelles adapt to stresses from proximal oncogenes that drive specific types of cancer. The Projects are organized hierarchically as organelle stresses downstream of proliferation-inducing oncogenes. Project 1 will examine the chromosome passenger complex and its regulated phase separation during metaphase as an organelle that senses and repairs spindle defects to suppress breast cancer aneuploidy driven by mitotic transcription factors. Project 2 will evaluate the metabolic consequences of chronic mitochondrial fragmentation caused by mutant KRAS in primary colorectal cancers and secondary liver metastases. Project 3 will investigate localized signal-transduction rebalancing as a mechanism for alleviating plasma-membrane stress caused by EGFR amplification in glioblastoma. All Research Projects will rely on the High-Content Imaging & Analysis Core to obtain iterative multichannel immunofluorescence data with organelle-level resolution and quantification. The SASCO Outreach Core amplifies ongoing programs at the University of Virginia to provide summer research experiences for undergraduates and faculty scholars from historically underrepresented backgrounds as well as introductory systems biology modeling materials for clinicians across the Commonwealth of Virginia. The SASCO Center will thus create a national headquarters for subcellular cancer systems biology within the broader Cancer Systems Biology Consortium",U54,"Oncogenic Stress, Metabolism",University of Virginia,UVA,"Kevin A. Janes, Matthew J. Lazzara",CSBC,9/12/22,8/31/27,https://reporter.nih.gov/search/wCXAYCjFA0iXX78Im8EjBw/projects,4,,https://www.synapse.org/#!Team:3471181,https://www.synapse.org/#!Synapse:syn43447144,b1d6542b-5842-456f-ba40-bf7b2be3bd34,syn53259587
GrantView,CA274502,The Cancer Cell Map Initiative v2,CA274502,"The Cancer Genome Atlas and sister projects have now sequenced over 20,000 tumor genomes, providing a catalog of gene mutations, copy number variants and other genetic alterations associated with cancer. These data have made it clear that every cancer is a distinct genetic disease, with tumors that look physiologically similar often driven by patterns of gene mutations that are strikingly different. Due to this molecular heterogeneity, it is typically unclear what are the key driver mutations or dependencies in a given cancer and how these influence pathogenesis and response to therapy. One key observation for interpreting tumor genomes is that the many rare tumor mutations can be shown to converge on common molecular networks. Based on this premise we created the Cancer Cell Map Initiative (CCMI), whose mission is to create comprehensive maps of cancer molecular networks and to use these maps in intelligent systems for personalized therapy. In 2017, the CCMI was funded as an NCI U54 Research Center for Cancer Systems Biology, integrating expertise in network mapping, bioinformatic analysis and cancer research from leading academic laboratories at two University of California campuses (UCSF and UCSD). We have since generated comprehensive networks of protein interactions in breast and head-and-neck tumor cells and, from these data, identified several hundred protein complexes under selective mutational pressure in cancer (NeST v1.0). We have piloted deep learning systems (DCell, DrugCell and TCRP) that can use this protein network information to translate a patient‚Äôs tumor mutation profile to a predicted drug response, including FDA-approved and exploratory agents. We have implemented a rich portfolio of training opportunities and, leveraging UC institutional support, expanded the CCMI consortium to include more than a dozen faculty at UC and, most recently, Stanford. In the next five years, the CCMI will seek to: (1) Generate comprehensive protein interaction networks centered on key cancer driver genes in lung squamous cells (in healthy and diseased states) as well as the PIK3CA and TP53 pathways, which are central to many tumor types; (2) Systematically extend the CCMI collection of cancer protein interaction data with protein immunofluorescent imaging and cryo-electron microscopy to formulate multi-scale cancer cell maps; (3) Dissect the functional logic of these networks and maps by systematic genetic screening experiments in the same tumor types and pathways, using a panel of scalable cell proliferation, phenotype and pathway readouts; (4) Significantly advance and harden our DrugCell interpretable deep learning system for cancer precision medicine; (5) Train the current and next generation of scientists in network biology and its applications to cancer research; and (6) Continue to build a cadre of leading investigators to expand CCMI into a global coordinated partnership",U54,"Heterogeneity, Computational Resource",University of California; San Francisco,UCSF,"Nevan J. Krogan, Trey Idekker",CSBC,9/14/22,8/31/27,https://reporter.nih.gov/search/s309YWw0IU6S2Udw8MGEkQ/projects,4,,https://www.synapse.org/#!Team:3471182,https://www.synapse.org/#!Synapse:syn43447168,8e14fcf8-6298-41bc-95b2-1f9828cc4b49,syn53259587
