Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility
PublicationView,"CA264620, CA209978",CSBC,"Drug Resistance/Sensitivity, Heterogeneity, Evolution, Metastasis",10.1038/s41598-023-39995-6,Sci Rep,37553438,Phylogenetic inference from single-cell RNA-seq data,https://pubmed.ncbi.nlm.nih.gov/37553438,2023,,"Xuan Liu, Jason I Griffiths, Isaac Bishara, Jiayi Liu, Andrea H Bild, Jeffrey T Chang","Tumors are comprised of subpopulations of cancer cells that harbor distinct genetic profiles and phenotypes that evolve over time and during treatment. By reconstructing the course of cancer evolution, we can understand the acquisition of the malignant properties that drive tumor progression. Unfortunately, recovering the evolutionary relationships of individual cancer cells linked to their phenotypes remains a difficult challenge. To address this need, we have developed PhylinSic, a method that reconstructs the phylogenetic relationships among cells linked to their gene expression profiles from single cell RNA-sequencing (scRNA-Seq) data. This method calls nucleotide bases using a probabilistic smoothing approach and then estimates a phylogenetic tree using a Bayesian modeling algorithm. We showed that PhylinSic identified evolutionary relationships underpinning drug selection and metastasis and was sensitive enough to identify subclones from genetic drift. We found that breast cancer tumors resistant to chemotherapies harbored multiple genetic lineages that independently acquired high K-Ras and β-catenin, suggesting that therapeutic strategies may need to control multiple lineages to be durable. These results demonstrated that PhylinSic can reconstruct evolution and link the genotypes and phenotypes of cells across monophyletic tumors using scRNA-Seq.",Single Cell RNA-Sequencing,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA274502,CSBC,"Computational Resource, Heterogeneity",10.3389/fbinf.2023.1125949,Front Bioinform,37035036,Translating desktop success to the web in the cytoscape project,https://pubmed.ncbi.nlm.nih.gov/37035036,2023,"Bioinformatics, systems biology, Software development, Network Biology, Data Visualisation, Cytoscape","Dexter Pratt, Rudolf T Pillich, John H Morris","Cytoscape is an open-source bioinformatics environment for the analysis, integration, visualization, and query of biological networks. In this perspective piece, we describe our project to bring the Cytoscape desktop application to the web while explaining our strategy in ways relevant to others in the bioinformatics community. We examine opportunities and challenges in developing bioinformatics software that spans both the desktop and web, and we describe our ongoing efforts to build a Cytoscape web application, highlighting the principles that guide our development.",Computational Tool,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA244100,PS-ON,"Drug Resistance/Sensitivity, Tumor-Immune",10.1007/s11538-023-01139-2,Bull Math Biol,37186175,Modelling Radiation Cancer Treatment with a Death-Rate Term in Ordinary and Fractional Differential Equations,https://pubmed.ncbi.nlm.nih.gov/37186175,2023,"Differential equations, Cancer Radiotherapy, Mathematical Oncology, Fractional Derivatives, Modelling Simulation","Nicole Wilson, Corina S Drapaca, Heiko Enderling, Jimmy J Caudell, Kathleen P Wilkie","Fractional calculus has recently been applied to the mathematical modelling of tumour growth, but its use introduces complexities that may not be warranted. Mathematical modelling with differential equations is a standard approach to study and predict treatment outcomes for population-level and patient-specific responses. Here, we use patient data of radiation-treated tumours to discuss the benefits and limitations of introducing fractional derivatives into three standard models of tumour growth. The fractional derivative introduces a history-dependence into the growth function, which requires a continuous death-rate term for radiation treatment. This newly proposed radiation-induced death-rate term improves computational efficiency in both ordinary and fractional derivative models. This computational speed-up will benefit common simulation tasks such as model parameterization and the construction and running of virtual clinical trials.",Mathematical Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA217297,CSBC,"Epigenetics, Drug Resistance/Sensitivity",10.1186/s13256-022-03660-9,J Med Case Rep,36434709,Hypermetabolic lymphadenopathy following the administration of COVID-19 vaccine and immunotherapy in a lung cancer patient: a case report,https://pubmed.ncbi.nlm.nih.gov/36434709,2022,"Lung cancer, Case Report, Lymphadenopathy, Covid-19, Covid-19 Vaccine","Shreya Tripathy, Nathaniel Alvarez, Shubham Jaiswal, Ryan Williams, Munaf Al-Khadimi, Sarah Hackman, William Phillips, Supreet Kaur, Sherri Cervantez, William Kelly, Josephine Taverna","Background: Given the current climate of the pandemic, lung cancer patients are especially vulnerable to complications from severe acute respiratory syndrome coronavirus 2 infection. As a high-risk population group, these patients are strongly advised to receive coronavirus disease 2019 vaccination in accordance with Center for Disease Control and Prevention guidelines to minimize morbidity and mortality. In recent years, immunotherapy has taken a preeminent role in the treatment of non-small cell lung cancer with dramatic improvement in overall survival. Reactive lymphadenopathy following the administration of a coronavirus disease 2019 vaccination can confound the radiographic interpretation of positron emission tomography-computed tomography or computed tomography scans from lung cancer patients receiving immunotherapy. Case presentation: Here, we present a case of a 61-year-old Caucasian female and former smoker who developed cervical, hilar, supraclavicular, mediastinal, and left retroauricular lymphadenopathy following her coronavirus disease 2019 booster vaccination. At the time, she had been receiving long-term immunotherapy for the treatment of advanced lung adenocarcinoma. Biopsy was pursued owing to concerns of treatment failure and confirmed recurrent malignancy. Conclusion: This case report highlights the importance of lymph node biopsies in lung cancer patients who present with contralateral lymphadenopathy following coronavirus disease 2019 vaccination to rule out tumor recurrence in this deserving patient population.","Computed Tomography, Positron Emission Tomography",Lung Adenocarcinoma,Lung,Not Applicable,Open Access
PublicationView,CA210181,PS-ON,"Microenvironment, Heterogeneity, Tumor-Immune",10.1159/000530134,Liver Cancer,37593365,Definitive Liver Radiotherapy for Intrahepatic Cholangiocarcinoma with Extrahepatic Metastases,https://pubmed.ncbi.nlm.nih.gov/37593365,2023,,"Brian De, Rituraj Upadhyay, Kaiping Liao, Tiffany Kumala, Christopher Shi, Grace Dodoo, Joseph Abi Jaoude, Kelsey L Corrigan, Gohar S Manzar, Kathryn E Marqueen, Vincent Bernard, Sunyoung S Lee, Kanwal P S Raghav, Jean-Nicolas Vauthey, Ching-Wei D Tzeng, Hop S Tran Cao, Grace Lee, Jennifer Y Wo, Theodore S Hong, Christopher H Crane, Bruce D Minsky, Grace L Smith, Emma B Holliday, Cullen M Taniguchi, Albert C Koong, Prajnan Das, Milind Javle, Ethan B Ludmir, Eugene J Koay","Introduction: Tumor-related liver failure (TRLF) is the most common cause of death in patients with intrahepatic cholangiocarcinoma (ICC). Though we previously showed that liver radiotherapy (L-RT) for locally advanced ICC is associated with less frequent TRLF and longer overall survival (OS), the role of L-RT for patients with extrahepatic metastatic disease (M1) remains undefined. We sought to compare outcomes for M1 ICC patients treated with and without L-RT. Methods: We reviewed ICC patients that found to have M1 disease at initial diagnosis at a single institution between 2010 and 2021 who received L-RT, matching them with an institutional cohort by propensity score and a National Cancer Database (NCDB) cohort by frequency technique. The median biologically effective dose was 97.5 Gy (interquartile range 80.5-97.9 Gy) for L-RT. Patients treated with other local therapies or supportive care alone were excluded. We analyzed survival with Cox proportional hazard modeling. Results: We identified 61 patients who received L-RT and 220 who received chemotherapy alone. At median follow-up of 11 months after diagnosis, median OS was 9 months (95% confidence interval [CI] 8-11) and 21 months (CI: 17-26) for patients receiving chemotherapy alone and L-RT, respectively. TRLF was the cause of death more often in the patients who received chemotherapy alone compared to those who received L-RT (82% vs. 47%; <i>p</i> = 0.001). On multivariable propensity score-matched analysis, associations with lower risk of death included duration of upfront chemotherapy (hazard ratio [HR] 0.82; <i>p</i> = 0.005) and receipt of L-RT (HR: 0.40; <i>p</i> = 0.002). The median OS from diagnosis for NCDB chemotherapy alone cohort was shorter than that of the institutional L-RT cohort (9 vs. 22 months; <i>p</i> < 0.001). Conclusion: For M1 ICC, L-RT associated with a lower rate of death due to TRLF and longer OS versus those treated with chemotherapy alone. Prospective studies of L-RT in this setting are warranted.",Survival Analysis,Cholangiocarcinoma,Liver,Not Applicable,Open Access
PublicationView,CA210180,PS-ON,"Microenvironment, Evolution, Heterogeneity",10.1021/acs.analchem.3c00803,Anal Chem,37469028,Chemical QuantArray: A Quantitative Tool for Mass Spectrometry Imaging,https://pubmed.ncbi.nlm.nih.gov/37469028,2023,,"Sylwia A Stopka, Daniela Ruiz, Gerard Baquer, Clément Bodineau, Md Amin Hossain, Valentina T Pellens, Michael S Regan, Olivier Pourquié, Marcia C Haigis, Wenya L Bi, Shannon M Coy, Sandro Santagata, Nathalie Y R Agar, Sankha S Basu","Matrix-assisted laser desorption ionization mass spectrometry imaging (MALDI-MSI) is a powerful analytical technique that provides spatially preserved detection and quantification of analytes in tissue specimens. However, clinical translation still requires improved throughput, precision, and accuracy. To accomplish this, we created ""Chemical QuantArray"", a gelatin tissue microarray (TMA) mold filled with serial dilutions of isotopically labeled endogenous metabolite standards. The mold is then cryo-sectioned onto a tissue homogenate to produce calibration curves. To improve precision and accuracy, we automatically remove pixels outside of each TMA well and investigated several intensity normalizations, including the utilization of a second stable isotope internal standard (IS). Chemical QuantArray enables the quantification of several endogenous metabolites over a wide dynamic range and significantly improve over current approaches. The technique reduces the space needed on the MALDI slides for calibration standards by approximately 80%. Furthermore, removal of empty pixels and normalization to an internal standard or matrix peak provided precision (<20% RSD) and accuracy (<20% DEV). Finally, we demonstrate the applicability of Chemical QuantArray by quantifying multiple purine metabolites in 14 clinical tumor specimens using a single MALDI slide. Chemical QuantArray improves the analytical characteristics and practical feasibility of MALDI-MSI metabolite quantification in clinical and translational applications.","Mass Spectrometry, MALDI-TOF Mass Spectrometry, Computational Tool",Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA274502,CSBC,"Computational Resource, Heterogeneity",10.1093/bioinformatics/btad118,Bioinformatics,36882166,NDEx IQuery: a multi-method network gene set analysis leveraging the Network Data Exchange,https://pubmed.ncbi.nlm.nih.gov/36882166,2023,,"Rudolf T Pillich, Jing Chen, Christopher Churas, Dylan Fong, Benjamin M Gyori, Trey Ideker, Klas Karis, Sophie N Liu, Keiichiro Ono, Alexander Pico, Dexter Pratt","Motivation: The investigation of sets of genes using biological pathways is a common task for researchers and is supported by a wide variety of software tools. This type of analysis generates hypotheses about the biological processes that are active or modulated in a specific experimental context. Results: The Network Data Exchange Integrated Query (NDEx IQuery) is a new tool for network and pathway-based gene set interpretation that complements or extends existing resources. It combines novel sources of pathways, integration with Cytoscape, and the ability to store and share analysis results. The NDEx IQuery web application performs multiple gene set analyses based on diverse pathways and networks stored in NDEx. These include curated pathways from WikiPathways and SIGNOR, published pathway figures from the last 27 years, machine-assembled networks using the INDRA system, and the new NCI-PID v2.0, an updated version of the popular NCI Pathway Interaction Database. NDEx IQuery's integration with MSigDB and cBioPortal now provides pathway analysis in the context of these two resources. Availability and implementation: NDEx IQuery is available at https://www.ndexbio.org/iquery and is implemented in Javascript and Java.",Computational Tool,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA209988,CSBC,"Microenvironment, Drug Resistance/Sensitivity, Heterogeneity",10.1007/978-3-030-91241-3_5,Math Comput Oncol (2021),37342205,Strategies to Reduce Long-Term Drug Resistance by Considering Effects of Differential Selective Treatments,https://pubmed.ncbi.nlm.nih.gov/37342205,2021,"Optimal control, Cancer Treatment, Tumor Heterogeneity","Tina Ghodsi Asnaashari, Young Hwan Chang","Despite great advances in modeling and cancer therapy using optimal control theory, tumor heterogeneity and drug resistance are major obstacles in cancer treatments. Since recent biological studies demonstrated the evidence of tumor heterogeneity and assessed potential biological and clinical implications, tumor heterogeneity should be taken into account in the optimal control problem to improve treatment strategies. Here, first we study the effects of two different treatment strategies (i.e., symmetric and asymmetric) in a minimal two-population model to examine the long-term effects of these treatment methods on the system. Second, by considering tumor adaptation to treatment as a factor of the cost function, the optimal treatment strategy is derived. Numerical examples show that optimal treatment decreases tumor burden for the long-term by decreasing rate of tumor adaptation over time.",Mathematical Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA209975,CSBC,"Microenvironment, Drug Resistance/Sensitivity, Metastasis, Tumor-Immune",10.1093/bioinformatics/btad267,Bioinformatics,37387147,scKINETICS: inference of regulatory velocity with single-cell transcriptomics data,https://pubmed.ncbi.nlm.nih.gov/37387147,2023,,"Cassandra Burdziak, Chujun Julia Zhao, Doron Haviv, Direna Alonso-Curbelo, Scott W Lowe, Dana Pe'er","Motivation: Transcriptional dynamics are governed by the action of regulatory proteins and are fundamental to systems ranging from normal development to disease. RNA velocity methods for tracking phenotypic dynamics ignore information on the regulatory drivers of gene expression variability through time. Results: We introduce scKINETICS (Key regulatory Interaction NETwork for Inferring Cell Speed), a dynamical model of gene expression change which is fit with the simultaneous learning of per-cell transcriptional velocities and a governing gene regulatory network. Fitting is accomplished through an expectation-maximization approach designed to learn the impact of each regulator on its target genes, leveraging biologically motivated priors from epigenetic data, gene-gene coexpression, and constraints on cells' future states imposed by the phenotypic manifold. Applying this approach to an acute pancreatitis dataset recapitulates a well-studied axis of acinar-to-ductal transdifferentiation whilst proposing novel regulators of this process, including factors with previously appreciated roles in driving pancreatic tumorigenesis. In benchmarking experiments, we show that scKINETICS successfully extends and improves existing velocity approaches to generate interpretable, mechanistic models of gene regulatory dynamics. Availability and implementation: All python code and an accompanying Jupyter notebook with demonstrations are available at http://github.com/dpeerlab/scKINETICS.",Mathematical Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA227136,TEC,"Microenvironment, Drug Resistance/Sensitivity",10.1016/s1470-2045(22)00626-x,Lancet Oncol,36243021,Chronic convection-enhanced intratumoural delivery of chemotherapy for glioblastoma,https://pubmed.ncbi.nlm.nih.gov/36243021,2022,,"Jacob S Young, Manish K Aghi",No abstract available.,Clinical Study,Glioblastoma,Brain,Not Applicable,Open Access
PublicationView,CA217378,CSBC,"Drug Resistance/Sensitivity, Evolution, Heterogeneity",10.1016/j.trsl.2022.11.011,Transl Res,36481562,A human vascularized microtumor model of patient-derived colorectal cancer recapitulates clinical disease,https://pubmed.ncbi.nlm.nih.gov/36481562,2023,,"Stephanie J Hachey, Agua Sobrino, John G Lee, Mehraneh D Jafari, Samuel J Klempner, Eric J Puttock, Robert A Edwards, John S Lowengrub, Marian L Waterman, Jason A Zell, Christopher C W Hughes","Accurately modeling tumor biology and testing novel therapies on patient-derived cells is critically important to developing therapeutic regimens personalized to a patient's specific disease. The vascularized microtumor (VMT), or ""tumor-on-a-chip,"" is a physiologic preclinical cancer model that incorporates key features of the native human tumor microenvironment within a transparent microfluidic platform, allowing rapid drug screening in vitro. Herein we optimize methods for generating patient-derived VMT (pVMT) using fresh colorectal cancer (CRC) biopsies and surgical resections to test drug sensitivities at the individual patient level. In response to standard chemotherapy and TGF-βR1 inhibition, we observe heterogeneous responses between pVMT derived from 6 patient biopsies, with the pVMT recapitulating tumor growth, histological features, metabolic heterogeneity, and drug responses of actual CRC tumors. Our results suggest that a translational infrastructure providing rapid information from patient-derived tumor cells in the pVMT, as established in this study, will support efforts to improve patient outcomes.","Cell Culture, Flow Cytometry, Fluorescence Lifetime Imaging Microscopy, Microfluidics",Colorectal Adenocarcinoma,Colon,Not Applicable,Open Access
PublicationView,CA225088,CSBC,"Microenvironment, Drug Resistance/Sensitivity",10.1016/j.ccell.2023.03.015,Cancer Cell,37059105,Lymphocyte networks are dynamic cellular communities in the immunoregulatory landscape of lung adenocarcinoma,https://pubmed.ncbi.nlm.nih.gov/37059105,2023,"Immunotherapy, Cancer vaccines, Lung adenocarcinoma, systems biology, computational biology, Multiplexed Imaging, Multimodal Data Integration, Cycif, Spatial Profiling, Spatial Biology","Giorgio Gaglia, Megan L Burger, Cecily C Ritch, Danae Rammos, Yang Dai, Grace E Crossland, Sara Z Tavana, Simon Warchol, Alex M Jaeger, Santiago Naranjo, Shannon Coy, Ajit J Nirmal, Robert Krueger, Jia-Ren Lin, Hanspeter Pfister, Peter K Sorger, Tyler Jacks, Sandro Santagata","Lymphocytes are key for immune surveillance of tumors, but our understanding of the spatial organization and physical interactions that facilitate lymphocyte anti-cancer functions is limited. We used multiplexed imaging, quantitative spatial analysis, and machine learning to create high-definition maps of lung tumors from a Kras/Trp53-mutant mouse model and human resections. Networks of interacting lymphocytes (""lymphonets"") emerged as a distinctive feature of the anti-cancer immune response. Lymphonets nucleated from small T cell clusters and incorporated B cells with increasing size. CXCR3-mediated trafficking modulated lymphonet size and number, but T cell antigen expression directed intratumoral localization. Lymphonets preferentially harbored TCF1<sup>+</sup> PD-1<sup>+</sup> progenitor CD8<sup>+</sup> T cells involved in responses to immune checkpoint blockade (ICB) therapy. Upon treatment of mice with ICB or an antigen-targeted vaccine, lymphonets retained progenitor and gained cytotoxic CD8<sup>+</sup> T cell populations, likely via progenitor differentiation. These data show that lymphonets create a spatial environment supportive of CD8<sup>+</sup> T cell anti-tumor responses.","Cyclic Immunofluorescence, Imaging",Lung Adenocarcinoma,Lung,syn30715952,Open Access
PublicationView,CA261694,MetNet,"Metastasis, Method/Assay Development",10.1038/s41467-023-38598-z,Nat Commun,37217555,Chemo-mechanical diffusion waves explain collective dynamics of immune cell podosomes,https://pubmed.ncbi.nlm.nih.gov/37217555,2023,,"Ze Gong, Koen van den Dries, Rodrigo A Migueles-Ramírez, Paul W Wiseman, Alessandra Cambi, Vivek B Shenoy","Immune cells, such as macrophages and dendritic cells, can utilize podosomes, mechanosensitive actin-rich protrusions, to generate forces, migrate, and patrol for foreign antigens. Individual podosomes probe their microenvironment through periodic protrusion and retraction cycles (height oscillations), while oscillations of multiple podosomes in a cluster are coordinated in a wave-like fashion. However, the mechanisms governing both the individual oscillations and the collective wave-like dynamics remain unclear. Here, by integrating actin polymerization, myosin contractility, actin diffusion, and mechanosensitive signaling, we develop a chemo-mechanical model for podosome dynamics in clusters. Our model reveals that podosomes show oscillatory growth when actin polymerization-driven protrusion and signaling-associated myosin contraction occur at similar rates, while the diffusion of actin monomers drives wave-like coordination of podosome oscillations. Our theoretical predictions are validated by different pharmacological treatments and the impact of microenvironment stiffness on chemo-mechanical waves. Our proposed framework can shed light on the role of podosomes in immune cell mechanosensing within the context of wound healing and cancer immunotherapy.","Computational Modeling, Mathematical Modeling",Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA209992,CSBC,"Microenvironment, Metastasis",10.1038/s41590-023-01571-5,Nat Immunol,37500885,CTLA-4 tail fusion enhances CAR-T antitumor immunity,https://pubmed.ncbi.nlm.nih.gov/37500885,2023,,"Xiaoyu Zhou, Hanbing Cao, Shao-Yu Fang, Ryan D Chow, Kaiyuan Tang, Medha Majety, Meizhu Bai, Matthew B Dong, Paul A Renauer, Xingbo Shang, Kazushi Suzuki, Andre Levchenko, Sidi Chen","Chimeric antigen receptor (CAR)-T cells are powerful therapeutics; however, their efficacy is often hindered by critical hurdles. Here utilizing the endocytic feature of the cytotoxic T-lymphocyte-associated antigen-4 (CTLA-4) cytoplasmic tail, we reprogram CAR function and substantially enhance CAR-T efficacy in vivo. CAR-T cells with monomeric, duplex or triplex CTLA-4 cytoplasmic tails (CCTs) fused to the C terminus of CAR exhibit a progressive increase in cytotoxicity under repeated stimulation, accompanied by reduced activation and production of proinflammatory cytokines. Further characterization reveals that CARs with increasing CCT fusion show a progressively lower surface expression, regulated by their constant endocytosis, recycling and degradation under steady state. The molecular dynamics of reengineered CAR with CCT fusion results in reduced CAR-mediated trogocytosis, loss of tumor antigen and improved CAR-T survival. CARs with either monomeric (CAR-1CCT) or duplex CCTs (CAR-2CCT) have superior antitumor efficacy in a relapsed leukemia model. Single-cell RNA sequencing and flow cytometry analysis reveal that CAR-2CCT cells retain a stronger central memory phenotype and exhibit increased persistence. These findings illuminate a unique strategy for engineering therapeutic T cells and improving CAR-T function through synthetic CCT fusion, which is orthogonal to other cell engineering techniques.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access
PublicationView,"CA274502, CA209891",CSBC,"Drug Resistance/Sensitivity, Computational Resource, Evolution, Heterogeneity",10.1016/j.ccell.2023.04.008,Cancer Cell,37146605,Clinical significance and biology of circulating tumor DNA in high-risk early-stage HER2-negative breast cancer receiving neoadjuvant chemotherapy,https://pubmed.ncbi.nlm.nih.gov/37146605,2023,"receptor subtype, Neoadjuvant chemotherapy, Gene Expression, Pathologic Complete Response, Circulating Tumor Dna, Residual Cancer Burden","Mark Jesus M Magbanua, Lamorna Brown Swigart, Ziad Ahmed, Rosalyn W Sayaman, Derrick Renner, Ekaterina Kalashnikova, Gillian L Hirst, Christina Yau, Denise M Wolf, Wen Li, Amy L Delson, Smita Asare, Minetta C Liu, Kathy Albain, A Jo Chien, Andres Forero-Torres, Claudine Isaacs, Rita Nanda, Debu Tripathy, Angel Rodriguez, Himanshu Sethi, Alexey Aleshin, Matthew Rabinowitz, Jane Perlmutter, W Fraser Symmans, Douglas Yee, Nola M Hylton, Laura J Esserman, Angela M DeMichele, Hope S Rugo, Laura J van 't Veer","Circulating tumor DNA (ctDNA) analysis may improve early-stage breast cancer treatment via non-invasive tumor burden assessment. To investigate subtype-specific differences in the clinical significance and biology of ctDNA shedding, we perform serial personalized ctDNA analysis in hormone receptor (HR)-positive/HER2-negative breast cancer and triple-negative breast cancer (TNBC) patients receiving neoadjuvant chemotherapy (NAC) in the I-SPY2 trial. ctDNA positivity rates before, during, and after NAC are higher in TNBC than in HR-positive/HER2-negative breast cancer patients. Early clearance of ctDNA 3 weeks after treatment initiation predicts a favorable response to NAC in TNBC only. Whereas ctDNA positivity associates with reduced distant recurrence-free survival in both subtypes. Conversely, ctDNA negativity after NAC correlates with improved outcomes, even in patients with extensive residual cancer. Pretreatment tumor mRNA profiling reveals associations between ctDNA shedding and cell cycle and immune-associated signaling. On the basis of these findings, the I-SPY2 trial will prospectively test ctDNA for utility in redirecting therapy to improve response and prognosis.","Whole Exome Sequencing, Next Generation Sequencing",Breast Neoplasm,Breast,GSE194040,Open Access
PublicationView,"CA209988, CA224012","PDMC, CSBC","Microenvironment, Drug Resistance/Sensitivity, Heterogeneity, Experimental Model Development",10.1038/s42003-023-04837-8,Commun Biol,37142678,Morphodynamical cell state description via live-cell imaging trajectory embedding,https://pubmed.ncbi.nlm.nih.gov/37142678,2023,,"Jeremy Copperman, Sean M Gross, Young Hwan Chang, Laura M Heiser, Daniel M Zuckerman","Time-lapse imaging is a powerful approach to gain insight into the dynamic responses of cells, but the quantitative analysis of morphological changes over time remains challenging. Here, we exploit the concept of ""trajectory embedding"" to analyze cellular behavior using morphological feature trajectory histories-that is, multiple time points simultaneously, rather than the more common practice of examining morphological feature time courses in single timepoint (snapshot) morphological features. We apply this approach to analyze live-cell images of MCF10A mammary epithelial cells after treatment with a panel of microenvironmental perturbagens that strongly modulate cell motility, morphology, and cell cycle behavior. Our morphodynamical trajectory embedding analysis constructs a shared cell state landscape revealing ligand-specific regulation of cell state transitions and enables quantitative and descriptive models of single-cell trajectories. Additionally, we show that incorporation of trajectories into single-cell morphological analysis enables (i) systematic characterization of cell state trajectories, (ii) better separation of phenotypes, and (iii) more descriptive models of ligand-induced differences as compared to snapshot-based analysis. This morphodynamical trajectory embedding is broadly applicable to the quantitative analysis of cell responses via live-cell imaging across many biological and biomedical applications.",Imaging,Breast Neoplasm,Breast,Not Applicable,Open Access
PublicationView,CA225088,CSBC,"Microenvironment, Drug Resistance/Sensitivity",10.1016/j.jaad.2023.02.014,J Am Acad Dermatol,36828138,Influence of melanoma type on incidence and downstream implications of cutaneous immune-related adverse events in the setting of immune checkpoint inhibitor therapy,https://pubmed.ncbi.nlm.nih.gov/36828138,2023,"Immunotherapy, Skin Toxicity, Immune Checkpoint Inhibitor, Cutaneous Immune-related Adverse Events, Rare Melanoma","Nga Nguyen, Guihong Wan, Pearl Ugwu-Dike, Nora A Alexander, Neel Raval, Shijia Zhang, Ruple Jairath, Jordan Phillipps, Bonnie Leung, Katie Roster, Jayhyun Seo, Chenyue Lu, Kimberly Tang, Min Seok Choi, Mia S DeSimone, Nicholas Theodosakis, Munachimso Amadife, Nevada Cox, Thomas K Le, Feng Liu, Wenxin Chen, Xue Bai, Genevieve Boland, David Liu, Marc S Hurlbert, Nicole LeBoeuf, Kerry L Reynolds, Kun-Hsing Yu, Hensin Tsao, Maryam Asgari, Alexander Gusev, Shawn G Kwatra, Yevgeniy R Semenov","Background: Emerging evidence suggests that cutaneous immune-related adverse events (cirAEs) are associated with a survival benefit in the setting of advanced melanoma treated with immune checkpoint inhibitor (ICI) therapy. Previous studies have not examined the role of melanoma subtypes on cirAE development and downstream therapeutic outcomes. Objective: Examine the impact of melanoma subtypes on cirAE onset and survival among ICI recipients. Methods: Retrospective multi-institutional cohort study. Multivariate time-series regressions were utilized to assess relationships between melanoma subtype, cirAE development, and survival. Results: Among 747 ICI recipients, 236 (31.6%) patients developed a cirAE. Patients with acral melanoma were less likely to develop a cirAE (hazard ratio [HR] = 0.41, P = .016) compared to patients with nonacral cutaneous melanoma. Across all melanoma subtypes, cirAEs were associated with reduced mortality (HR = 0.76, P = .042). Patients with acral (HR = 2.04, P = .005), mucosal (HR = 2.30, P < .001), and uveal (HR = 4.09, P < .001) primaries exhibited the worst survival. Limitations: Retrospective cohort study. Conclusion: This is the first study to demonstrate differences in cirAE development among melanoma subtypes. The presence of cirAEs was associated with better survival. Further, the lower incidence of cirAEs may be a marker of immunotherapy response, which is reflected in the association between acral melanoma and mortality.",Immunotherapy,Melanoma,Skin,Not Applicable,Open Access
PublicationView,,,,10.1093/micmic/ozad067.471,Microsc Microanal,37613803,Annular Dark Field Imaging with Variable Angle for Improving STEM Tomography of Biological Samples,https://pubmed.ncbi.nlm.nih.gov/37613803,2023,,"Wing Shun Li, Eric Roth, Reiner Bleher, Vadim Backman, Vinayak P Dravid",No abstract available.,Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access
PublicationView,CA253248,TEC,"Platform Development, Microenvironment, Tumor-Immune, Immunotherapy",10.4049/jimmunol.2200216,J Immunol,37486193,TGF-β Signaling Prevents MHC Class II-Expressing Lymphatic Endothelial Cells from Reactivating Human Allogenic Memory CD4+ T Cells,https://pubmed.ncbi.nlm.nih.gov/37486193,2023,,"Renata Mezyk-Kopec, Lambert Potin, J Emiliano Gomez Medellin, Calixto M Salles, Melody A Swartz","Lymphatic endothelial cells (LECs) express MHC class II (MHC-II) upon IFN-γ stimulation, yet recent evidence suggests that LECs cannot activate naive or memory CD4+ T cells. In this article, we show that IFN-γ-activated human dermal LECs can robustly reactivate allogeneic human memory CD4+ T cells (hCD4+ TMs), but only when TGF-β signaling is inhibited. We found that in addition to upregulating MHC-II, IFN-γ also induces LECs to upregulate glycoprotein A repetitions predominant, which anchors latent TGF-β to the membrane and potentially inhibits T cell activation. Indeed, hCD4+ TM proliferation was substantially increased when LEC-CD4+ TM cultures were treated with a TGF-β receptor type 1 inhibitor or when glycoprotein A repetitions predominant expression was silenced in LECs. Reactivated hCD4+ TMs were characterized by their proliferation, CD25 expression, and cytokine secretion. CD4+ TM reactivation was dependent on LEC expression of MHC-II, confirming direct TCR engagement. Although CD80 and CD86 were not detected on LECs, the costimulatory molecules OX40L and ICOSL were upregulated upon cytokine stimulation; however, blocking these did not affect CD4+ TM reactivation by LECs. Finally, we found that human dermal LECs also supported the maintenance of Foxp3-expressing hCD4+ TMs independently of IFN-γ-induced MHC-II. Together, these results demonstrate a role for LECs in directly modulating CD4+ TM reactivation under inflammatory conditions and point to LEC-expressed TGF-β as a negative regulator of this activation.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access
