Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,Publication Tumor Type.1,tool,Unnamed: 19,PublicationView_id
PublicationView,"CA268083, CA271273",10.1016/j.cels.2023.03.004,Cell Syst,37080163,https://pubmed.ncbi.nlm.nih.gov/37080163,Uncovering the spatial landscape of molecular interactions within the tumor microenvironment through latent spaces,2023,"Spatial analysis, Tumor Microenvironment, Cell-cell Interactions, Transfer Learning, Single-cell Transcriptomics, Spatial Transcriptomics, Latent Space Factorization","Atul Deshpande, Melanie Loth, Dimitrios N Sidiropoulos, Shuming Zhang, Long Yuan, Alexander T F Bell, Qingfeng Zhu, Won Jin Ho, Cesar Santa-Maria, Daniele M Gilkes, Stephen R Williams, Cedric R Uytingco, Jennifer Chew, Andrej Hartnett, Zachary W Bent, Alexander V Favorov, Aleksander S Popel, Mark Yarchoan, Ashley Kiemen, Pei-Hsun Wu, Kohei Fujikura, Denis Wirtz, Laura D Wood, Lei Zheng, Elizabeth M Jaffee, Robert A Anders, Ludmila Danilova, Genevieve Stein-O'Brien, Luciane T Kagohara, Elana J Fertig","Recent advances in spatial transcriptomics (STs) enable gene expression measurements from a tissue sample while retaining its spatial context. This technology enables unprecedented in situ resolution of the regulatory pathways that underlie the heterogeneity in the tumor as well as the tumor microenvironment (TME). The direct characterization of cellular co-localization with spatial technologies facilities quantification of the molecular changes resulting from direct cell-cell interaction, as it occurs in tumor-immune interactions. We present SpaceMarkers, a bioinformatics algorithm to infer molecular changes from cell-cell interactions from latent space analysis of ST data. We apply this approach to infer the molecular changes from tumor-immune interactions in Visium spatial transcriptomics data of metastasis, invasive and precursor lesions, and immunotherapy treatment. Further transfer learning in matched scRNA-seq data enabled further quantification of the specific cell types in which SpaceMarkers are enriched. Altogether, SpaceMarkers can identify the location and context-specific molecular interactions within the TME from ST data.",Pending Annotation,,Pending Annotation,,Restricted Access,Pending Annotation,,,37080163
PublicationView,"CA210184, CA261694",10.1016/j.tcb.2022.09.009,Trends Cell Biol,36328835,https://pubmed.ncbi.nlm.nih.gov/36328835,Plasticity of cancer invasion and energy metabolism,2023,"Metabolic Stress, Cellular Bioenergetics, Amoeboid Migration, Migration Plasticity","Maria Parlani, Carolina Jorgez, Peter Friedl","Energy deprivation is a frequent adverse event in tumors that is caused by mutations, malperfusion, hypoxia, and nutrition deficit. The resulting bioenergetic stress leads to signaling and metabolic adaptation responses in tumor cells, secures survival, and adjusts migration activity. The kinetic responses of cancer cells to energy deficit were recently identified, including a switch of invasive cancer cells to energy-conservative amoeboid migration and an enhanced capability for distant metastasis. We review the energy programs employed by different cancer invasion modes including collective, mesenchymal, and amoeboid migration, as well as their interconversion in response to energy deprivation, and we discuss the consequences for metastatic escape. Understanding the energy requirements of amoeboid and other dissemination strategies offers rationales for improving therapeutic targeting of metastatic cancer progression.",Modeling,,Not Applicable,Not Applicable,Open Access,Pan-cancer,,,36328835
PublicationView,CA209975,10.1093/bioinformatics/btad267,Bioinformatics,37387147,https://pubmed.ncbi.nlm.nih.gov/37387147,scKINETICS: inference of regulatory velocity with single-cell transcriptomics data,2023,,"Cassandra Burdziak, Chujun Julia Zhao, Doron Haviv, Direna Alonso-Curbelo, Scott W Lowe, Dana Pe'er","Motivation: Transcriptional dynamics are governed by the action of regulatory proteins and are fundamental to systems ranging from normal development to disease. RNA velocity methods for tracking phenotypic dynamics ignore information on the regulatory drivers of gene expression variability through time. Results: We introduce scKINETICS (Key regulatory Interaction NETwork for Inferring Cell Speed), a dynamical model of gene expression change which is fit with the simultaneous learning of per-cell transcriptional velocities and a governing gene regulatory network. Fitting is accomplished through an expectation-maximization approach designed to learn the impact of each regulator on its target genes, leveraging biologically motivated priors from epigenetic data, gene-gene coexpression, and constraints on cells' future states imposed by the phenotypic manifold. Applying this approach to an acute pancreatitis dataset recapitulates a well-studied axis of acinar-to-ductal transdifferentiation whilst proposing novel regulators of this process, including factors with previously appreciated roles in driving pancreatic tumorigenesis. In benchmarking experiments, we show that scKINETICS successfully extends and improves existing velocity approaches to generate interpretable, mechanistic models of gene regulatory dynamics. Availability and implementation: All python code and an accompanying Jupyter notebook with demonstrations are available at http://github.com/dpeerlab/scKINETICS.",Mathematical Modeling,,Not Applicable,Not Applicable,Open Access,Pan-cancer,,,37387147
PublicationView,"CA209988, CA224012",10.1038/s42003-023-04837-8,Commun Biol,37142678,https://pubmed.ncbi.nlm.nih.gov/37142678,Morphodynamical cell state description via live-cell imaging trajectory embedding,2023,,"Jeremy Copperman, Sean M Gross, Young Hwan Chang, Laura M Heiser, Daniel M Zuckerman","Time-lapse imaging is a powerful approach to gain insight into the dynamic responses of cells, but the quantitative analysis of morphological changes over time remains challenging. Here, we exploit the concept of ""trajectory embedding"" to analyze cellular behavior using morphological feature trajectory histories-that is, multiple time points simultaneously, rather than the more common practice of examining morphological feature time courses in single timepoint (snapshot) morphological features. We apply this approach to analyze live-cell images of MCF10A mammary epithelial cells after treatment with a panel of microenvironmental perturbagens that strongly modulate cell motility, morphology, and cell cycle behavior. Our morphodynamical trajectory embedding analysis constructs a shared cell state landscape revealing ligand-specific regulation of cell state transitions and enables quantitative and descriptive models of single-cell trajectories. Additionally, we show that incorporation of trajectories into single-cell morphological analysis enables (i) systematic characterization of cell state trajectories, (ii) better separation of phenotypes, and (iii) more descriptive models of ligand-induced differences as compared to snapshot-based analysis. This morphodynamical trajectory embedding is broadly applicable to the quantitative analysis of cell responses via live-cell imaging across many biological and biomedical applications.",Imaging,,Breast,Not Applicable,Open Access,Breast Neoplasm,,,37142678
PublicationView,CA193417,10.1007/s00412-023-00800-y,Chromosoma,37256347,https://pubmed.ncbi.nlm.nih.gov/37256347,Genetic heterogeneity in p53-null leukemia increases transiently with spindle assembly checkpoint inhibition and is not rescued by p53,2023,"p53, Aneuploidy, Hematologic Cancer, Liquid Tumor, Spindle Assembly Check Point (Sac)","Mai Wang, Steven Phan, Brandon H Hayes, Dennis E Discher","Chromosome gains or losses often lead to copy number variations (CNV) and loss of heterozygosity (LOH). Both quantities are low in hematologic ""liquid"" cancers versus solid tumors in data of The Cancer Genome Atlas (TCGA) that also shows the fraction of a genome affected by LOH is ~ one-half of that with CNV. Suspension cultures of p53-null THP-1 leukemia-derived cells conform to these trends, despite novel evidence here of genetic heterogeneity and transiently elevated CNV after perturbation. Single-cell DNAseq indeed reveals at least 8 distinct THP-1 aneuploid clones with further intra-clonal variation, suggesting ongoing genetic evolution. Importantly, acute inhibition of the mitotic spindle assembly checkpoint (SAC) produces CNV levels that are typical of high-CNV solid tumors, with subsequent cell death and down-selection to novel CNV. Pan-cancer analyses show p53 inactivation associates with aneuploidy, but leukemias exhibit a weaker trend even though p53 inactivation correlates with poor survival. Overexpression of p53 in THP-1 does not rescue established aneuploidy or LOH but slightly increases cell death under oxidative or confinement stress, and triggers p21, a key p53 target, but without affecting net growth. Our results suggest that factors other than p53 exert stronger pressures against aneuploidy in liquid cancers, and identifying such CNV suppressors could be useful across liquid and solid tumor types.",Pending Annotation,,Pending Annotation,,Restricted Access,Pending Annotation,,,37256347
PublicationView,CA271273,10.1158/2159-8290.cd-23-0277,Cancer Discov,37067199,https://pubmed.ncbi.nlm.nih.gov/37067199,Converging on a Cure: The Roads to Predictive Immunotherapy,2023,,"Genevieve L Stein-O'Brien, Dung T Le, Elizabeth M Jaffee, Elana J Fertig, Neeha Zaidi","Summary: Convergence science teams integrating clinical, biological, engineering, and computational expertise are inventing new forecast systems to monitor and predict evolutionary changes in tumor and immune interactions during early cancer progression and therapeutic response. The resulting methods should inform a new predictive medicine paradigm to select adaptive immunotherapeutic regimens personalized to patients' tumors at a given time during their cancer progression for durable patient response.",Pending Annotation,,Pending Annotation,,Restricted Access,Pending Annotation,,,37067199
PublicationView,"CA254886, CA193417",10.1242/jcs.260753,J Cell Sci,37288769,https://pubmed.ncbi.nlm.nih.gov/37288769,"Confinement plus myosin-II suppression maximizes heritable loss of chromosomes, as revealed by live-cell ChReporters",2023,"Myosin, Heritability, Aneuploidy, Compression, Rigidity, Confinement","Brandon H Hayes, Peter Kuangzheng Zhu, Mai Wang, Charlotte R Pfeifer, Yuntao Xia, Steven Phan, Jason C Andrechak, Junhong Du, Michael P Tobin, Alisya Anlas, Lawrence J Dooling, Manasvita Vashisth, Jerome Irianto, Michael A Lampson, Dennis E Discher","The mechanical environment of a cell can have many effects, but whether it impacts the DNA sequence of a cell has remained unexamined. To investigate this, we developed a live-cell method to measure changes in chromosome numbers. We edited constitutive genes with GFP or RFP tags on single alleles and discovered that cells that lose Chromosome reporters (ChReporters) become non-fluorescent. We applied our new tools to confined mitosis and to inhibition of the putative tumor suppressor myosin-II. We quantified compression of mitotic chromatin in vivo and demonstrated that similar compression in vitro resulted in cell death, but also rare and heritable ChReptorter loss. Myosin-II suppression rescued lethal multipolar divisions and maximized ChReporter loss during three-dimensional (3D) compression and two-dimensional (2D) lateral confinement, but not in standard 2D culture. ChReporter loss was associated with chromosome mis-segregation, rather than just the number of divisions, and loss in vitro and in mice was selected against in subsequent 2D cultures. Inhibition of the spindle assembly checkpoint (SAC) caused ChReporter loss in 2D culture, as expected, but not during 3D compression, suggesting a SAC perturbation. Thus, ChReporters enable diverse studies of viable genetic changes, and show that confinement and myosin-II affect DNA sequence and mechano-evolution.",Pending Annotation,,Pending Annotation,,Restricted Access,Pending Annotation,,,37288769
PublicationView,"CA209891, CA274502",10.1016/j.ccell.2023.04.008,Cancer Cell,37146605,https://pubmed.ncbi.nlm.nih.gov/37146605,Clinical significance and biology of circulating tumor DNA in high-risk early-stage HER2-negative breast cancer receiving neoadjuvant chemotherapy,2023,"receptor subtype, Neoadjuvant chemotherapy, Gene Expression, Pathologic Complete Response, Circulating Tumor Dna, Residual Cancer Burden","Mark Jesus M Magbanua, Lamorna Brown Swigart, Ziad Ahmed, Rosalyn W Sayaman, Derrick Renner, Ekaterina Kalashnikova, Gillian L Hirst, Christina Yau, Denise M Wolf, Wen Li, Amy L Delson, Smita Asare, Minetta C Liu, Kathy Albain, A Jo Chien, Andres Forero-Torres, Claudine Isaacs, Rita Nanda, Debu Tripathy, Angel Rodriguez, Himanshu Sethi, Alexey Aleshin, Matthew Rabinowitz, Jane Perlmutter, W Fraser Symmans, Douglas Yee, Nola M Hylton, Laura J Esserman, Angela M DeMichele, Hope S Rugo, Laura J van 't Veer","Circulating tumor DNA (ctDNA) analysis may improve early-stage breast cancer treatment via non-invasive tumor burden assessment. To investigate subtype-specific differences in the clinical significance and biology of ctDNA shedding, we perform serial personalized ctDNA analysis in hormone receptor (HR)-positive/HER2-negative breast cancer and triple-negative breast cancer (TNBC) patients receiving neoadjuvant chemotherapy (NAC) in the I-SPY2 trial. ctDNA positivity rates before, during, and after NAC are higher in TNBC than in HR-positive/HER2-negative breast cancer patients. Early clearance of ctDNA 3 weeks after treatment initiation predicts a favorable response to NAC in TNBC only. Whereas ctDNA positivity associates with reduced distant recurrence-free survival in both subtypes. Conversely, ctDNA negativity after NAC correlates with improved outcomes, even in patients with extensive residual cancer. Pretreatment tumor mRNA profiling reveals associations between ctDNA shedding and cell cycle and immune-associated signaling. On the basis of these findings, the I-SPY2 trial will prospectively test ctDNA for utility in redirecting therapy to improve response and prognosis.",Cell-free Circulating Tumor DNA Assay,,Breast,GSE194040,Open Access,Breast Carcinoma,,,37146605
PublicationView,CA209975,10.1126/science.add5327,Science,37167403,https://pubmed.ncbi.nlm.nih.gov/37167403,Epigenetic plasticity cooperates with cell-cell interactions to direct pancreatic tumorigenesis,2023,,"Cassandra Burdziak, Direna Alonso-Curbelo, Thomas Walle, José Reyes, Francisco M Barriga, Doron Haviv, Yubin Xie, Zhen Zhao, Chujun Julia Zhao, Hsuan-An Chen, Ojasvi Chaudhary, Ignas Masilionis, Zi-Ning Choo, Vianne Gao, Wei Luan, Alexandra Wuest, Yu-Jui Ho, Yuhong Wei, Daniela F Quail, Richard Koche, Linas Mazutis, Ronan Chaligné, Tal Nawy, Scott W Lowe, Dana Pe'er","The response to tumor-initiating inflammatory and genetic insults can vary among morphologically indistinguishable cells, suggesting as yet uncharacterized roles for epigenetic plasticity during early neoplasia. To investigate the origins and impact of such plasticity, we performed single-cell analyses on normal, inflamed, premalignant, and malignant tissues in autochthonous models of pancreatic cancer. We reproducibly identified heterogeneous cell states that are primed for diverse, late-emerging neoplastic fates and linked these to chromatin remodeling at cell-cell communication loci. Using an inference approach, we revealed signaling gene modules and tissue-level cross-talk, including a neoplasia-driving feedback loop between discrete epithelial and immune cell populations that was functionally validated in mice. Our results uncover a neoplasia-specific tissue-remodeling program that may be exploited for pancreatic cancer interception.",Pending Annotation,,Pending Annotation,,Restricted Access,Pending Annotation,,,37167403
PublicationView,"CA209988, CA224012",10.1038/s42003-023-04837-8,Commun Biol,37142678,https://pubmed.ncbi.nlm.nih.gov/37142678,Morphodynamical cell state description via live-cell imaging trajectory embedding,2023,,"Jeremy Copperman, Sean M Gross, Young Hwan Chang, Laura M Heiser, Daniel M Zuckerman","Time-lapse imaging is a powerful approach to gain insight into the dynamic responses of cells, but the quantitative analysis of morphological changes over time remains challenging. Here, we exploit the concept of ""trajectory embedding"" to analyze cellular behavior using morphological feature trajectory histories-that is, multiple time points simultaneously, rather than the more common practice of examining morphological feature time courses in single timepoint (snapshot) morphological features. We apply this approach to analyze live-cell images of MCF10A mammary epithelial cells after treatment with a panel of microenvironmental perturbagens that strongly modulate cell motility, morphology, and cell cycle behavior. Our morphodynamical trajectory embedding analysis constructs a shared cell state landscape revealing ligand-specific regulation of cell state transitions and enables quantitative and descriptive models of single-cell trajectories. Additionally, we show that incorporation of trajectories into single-cell morphological analysis enables (i) systematic characterization of cell state trajectories, (ii) better separation of phenotypes, and (iii) more descriptive models of ligand-induced differences as compared to snapshot-based analysis. This morphodynamical trajectory embedding is broadly applicable to the quantitative analysis of cell responses via live-cell imaging across many biological and biomedical applications.","Mathematical Modeling, Imaging",,Not Applicable,,Open Access,Pan-cancer,,,37142678
PublicationView,CA210173,10.1016/j.biomaterials.2023.122128,Biomaterials,37121102,https://pubmed.ncbi.nlm.nih.gov/37121102,Tumor stromal topography promotes chemoresistance in migrating breast cancer cell clusters,2023,"Drug resistance, Reactive oxygen species, Breast cancer, Cytochrome p450, Aryl Hydrocarbon Receptor, Aligned Extracellular Matrix Topography, Cancer Cell Cluster","Chia-Yi Su, Alex Wu, Zhipeng Dong, Chris P Miller, Allister Suarez, Andrew J Ewald, Eun Hyun Ahn, Deok-Ho Kim","Multicellular clustering provides cancer cells with survival advantages and facilitates metastasis. At the tumor migration front, cancer cell clusters are surrounded by an aligned stromal topography. It remains unknown whether aligned stromal topography regulates the resistance of migrating cancer cell clusters to therapeutics. Using a hybrid nanopatterned model to characterize breast cancer cell clusters at the migration front with aligned stromal topography, we demonstrate that topography-induced migrating cancer cell clusters exhibit upregulated cytochrome P450 family 1 (CYP1) drug metabolism and downregulated glycolysis gene signatures, which correlates with unfavorable prognosis. Screening on approved oncology drugs shows that cancer cell clusters on aligned stromal topography are more resistant to diverse chemotherapeutics. Full-dose drug testings further indicate that topography induces drug resistance of hormone receptor-positive breast cancer cell clusters to doxorubicin and tamoxifen and triple-negative breast cancer cell clusters to doxorubicin by activating the aryl hydrocarbon receptor (AhR)/CYP1 pathways. Inhibiting the AhR/CYP1 pathway restores reactive oxygen species-mediated drug sensitivity to migrating cancer cell clusters, suggesting a plausible therapeutic direction for preventing metastatic recurrence.",Pending Annotation,,Pending Annotation,,Restricted Access,Pending Annotation,,,37121102
PublicationView,"CA210181, CA253553",10.1038/s41419-023-05834-9,Cell Death Dis,37169743,https://pubmed.ncbi.nlm.nih.gov/37169743,Interferon-gamma is quintessential for NOS2 and COX2 expression in ER<sup>-</sup> breast tumors that lead to poor outcome,2023,,"Robert Y S Cheng, Lisa A Ridnour, Adelaide L Wink, Ana L Gonzalez, Elise L Femino, Helene Rittscher, Veena Somasundaram, William F Heinz, Leandro Coutinho, M Cristina Rangel, Elijah F Edmondson, Donna Butcher, Robert J Kinders, Xiaoxian Li, Stephen T C Wong, Daniel W McVicar, Stephen K Anderson, Milind Pore, Stephen M Hewitt, Timothy R Billiar, Sharon A Glynn, Jenny C Chang, Stephen J Lockett, Stefan Ambs, David A Wink","A strong correlation between NOS2 and COX2 tumor expression and poor clinical outcomes in ER breast cancer has been established. However, the mechanisms of tumor induction of these enzymes are unclear. Analysis of The Cancer Genome Atlas (TCGA) revealed correlations between NOS2 and COX2 expression and Th1 cytokines. Herein, single-cell RNAseq analysis of TNBC cells shows potent NOS2 and COX2 induction by IFNγ combined with IL1β or TNFα. Given that IFNγ is secreted by cytolytic lymphocytes, which improve clinical outcomes, this role of IFNγ presents a dichotomy. To explore this conundrum, tumor NOS2, COX2, and CD8<sup>+</sup> T cells were spatially analyzed in aggressive ER-, TNBC, and HER2 + breast tumors. High expression and clustering of NOS2-expressing tumor cells occurred at the tumor/stroma interface in the presence of stroma-restricted CD8<sup>+</sup> T cells. High expression and clustering of COX2-expressing tumor cells extended into immune desert regions in the tumor core where CD8<sup>+</sup> T cell penetration was limited or absent. Moreover, high NOS2-expressing tumor cells were proximal to areas with increased satellitosis, suggestive of cell clusters with a higher metastatic potential. Further in vitro experiments revealed that IFNγ + IL1β/TNFα increased the elongation and migration of treated tumor cells. This spatial analysis of the tumor microenvironment provides important insight into distinct neighborhoods where stroma-restricted CD8<sup>+</sup> T cells exist proximal to NOS2-expressing tumor niches that could have increased metastatic potential.","Cell Culture, Single Cell RNA-Sequencing, Scratch Assay, Invasion Assay",,Breast,,Open Access,Breast Carcinoma,,,37169743
PublicationView,"CA210190, CA268069",10.1038/s41467-023-38157-6,Nat Commun,37117218,https://pubmed.ncbi.nlm.nih.gov/37117218,RAD-TGTs: high-throughput measurement of cellular mechanotype via rupture and delivery of DNA tension probes,2023,,"Matthew R Pawlak, Adam T Smiley, Maria Paz Ramirez, Marcus D Kelly, Ghaidan A Shamsan, Sarah M Anderson, Branden A Smeester, David A Largaespada, David J Odde, Wendy R Gordon","Mechanical forces drive critical cellular processes that are reflected in mechanical phenotypes, or mechanotypes, of cells and their microenvironment. We present here ""Rupture And Deliver"" Tension Gauge Tethers (RAD-TGTs) in which flow cytometry is used to record the mechanical history of thousands of cells exerting forces on their surroundings via their propensity to rupture immobilized DNA duplex tension probes. We demonstrate that RAD-TGTs recapitulate prior DNA tension probe studies while also yielding a gain of fluorescence in the force-generating cell that is detectable by flow cytometry. Furthermore, the rupture propensity is altered following disruption of the cytoskeleton using drugs or CRISPR-knockout of mechanosensing proteins. Importantly, RAD-TGTs can differentiate distinct mechanotypes among mixed populations of cells. We also establish oligo rupture and delivery can be measured via DNA sequencing. RAD-TGTs provide a facile and powerful assay to enable high-throughput mechanotype profiling, which could find various applications, for example, in combination with CRISPR screens and -omics analysis.","Cell Culture, Flow Cytometry",,Not Applicable,PRJNA956930,Open Access,Glioma,,,37117218
PublicationView,CA214411,10.1016/j.cobme.2021.100309,Curr Opin Biomed Eng,37206309,https://pubmed.ncbi.nlm.nih.gov/37206309,State of the art in integrated biosensors for organ-on-a-chip applications,2021,"Physical environment, Metabolic activity, Biomarkers, Organ-on-a-chip, Integrated Biosensors","Yangzhi Zhu, Kalpana Mandal, Ana Lopez Hernandez, Satoru Kawakita, Wei Huang, Praveen Bandaru, Samad Ahadian, Han-Jun Kim, Vadim Jucaud, Mehmet R Dokmeci, Ali Khademhosseini","Organ-on-a-chip (OoC) models are bioengineered tissue constructs integrated with microfluidics that recapitulate the key features of the physiology of human organs and tissues with applications related to drug development and personalized medicine. The characterization of OoCs relies on conventional labor-intensive approaches despite the many years of research in the field. The physical environment of the tissue constructs, functionality, and metabolic activity of the cells must be monitored to ensure the behavior of the cells, and the cellular environments represent <i>in vivo</i> physiology. Current efforts focus on monitoring these parameters, particularly with in-line biosensors integrated with OoCs. In this review, we describe the recent advances in different biosensing modalities applied to monitor the environment and functionality of OoC models and offer suggestions for future directions in OoC applications.",Microfluidics,,Not Applicable,,Open Access,Pan-cancer,,,37206309
PublicationView,CA217376,10.1158/0008-5472.can-22-2589,Cancer Res,36853169,https://pubmed.ncbi.nlm.nih.gov/36853169,Spatial Positioning of Immune Hotspots Reflects the Interplay between B and T Cells in Lung Squamous Cell Carcinoma,2023,,"Hanyun Zhang, Khalid AbdulJabbar, David A Moore, Ayse Akarca, Katey S S Enfield, Mariam Jamal-Hanjani, Shan E Ahmed Raza, Selvaraju Veeriah, Roberto Salgado, Nicholas McGranahan, John Le Quesne, Charles Swanton, Teresa Marafioti, Yinyin Yuan","Beyond tertiary lymphoid structures, a significant number of immune-rich areas without germinal center-like structures are observed in non-small cell lung cancer. Here, we integrated transcriptomic data and digital pathology images to study the prognostic implications, spatial locations, and constitution of immune rich areas (immune hotspots) in a cohort of 935 patients with lung cancer from The Cancer Genome Atlas. A high intratumoral immune hotspot score, which measures the proportion of immune hotspots interfacing with tumor islands, was correlated with poor overall survival in lung squamous cell carcinoma but not in lung adenocarcinoma. Lung squamous cell carcinomas with high intratumoral immune hotspot scores were characterized by consistent upregulation of B-cell signatures. Spatial statistical analyses conducted on serial multiplex IHC slides further revealed that only 4.87% of peritumoral immune hotspots and 0.26% of intratumoral immune hotspots were tertiary lymphoid structures. Significantly lower densities of CD20+CXCR5+ and CD79b+ B cells and less diverse immune cell interactions were found in intratumoral immune hotspots compared with peritumoral immune hotspots. Furthermore, there was a negative correlation between the percentages of CD8+ T cells and T regulatory cells in intratumoral but not in peritumoral immune hotspots, with tertiary lymphoid structures excluded. These findings suggest that the intratumoral immune hotspots reflect an immunosuppressive niche compared with peritumoral immune hotspots, independent of the distribution of tertiary lymphoid structures. A balance toward increased intratumoral immune hotspots is indicative of a compromised antitumor immune response and poor outcome in lung squamous cell carcinoma. Significance: Intratumoral immune hotspots beyond tertiary lymphoid structures reflect an immunosuppressive microenvironment, different from peritumoral immune hotspots, warranting further study in the context of immunotherapies.","Hematoxylin and Eosin Staining Method, Gene Ontology Enrichment Analysis, Survival Analysis, Multiplexed Immunohistochemistry, Deep Learning ",,Lung,,Open Access,"Lung Squamous Cell Carcinoma, Lung Non-Small Cell Carcinoma",,,36853169
PublicationView,CA224044,10.3791/60872,J Vis Exp,33346184,https://pubmed.ncbi.nlm.nih.gov/33346184,Enhanced Viability for Ex vivo 3D Hydrogel Cultures of Patient-Derived Xenografts in a Perfused Microfluidic Platform,2020,,"Lindsey K Sablatura, Kristin M Bircsak, Peter Shepherd, Karla Queiroz, Mary C Farach-Carson, Pamela E Constantinou, Anthony Saleh, Nora Navone, Daniel A Harrington","Patient-derived xenografts (PDX), generated when resected patient tumor tissue is engrafted directly into immunocompromised mice, remain biologically stable, thereby preserving molecular, genetic, and histological features, as well as heterogeneity of the original tumor. However, using these models to perform a multitude of experiments, including drug screening, is prohibitive both in terms of cost and time. Three-dimensional (3D) culture systems are widely viewed as platforms in which cancer cells retain their biological integrity through biochemical interactions, morphology, and architecture. Our team has extensive experience culturing PDX cells in vitro using 3D matrices composed of hyaluronic acid (HA). In order to separate mouse fibroblast stromal cells associated with PDXs, we use rotation culture, where stromal cells adhere to the surface of tissue culture-treated plates while dissociated PDX tumor cells float and self-associate into multicellular clusters. Also floating in the supernatant are single, often dead cells, which present a challenge in collecting viable PDX clusters for downstream encapsulation into hydrogels for 3D cell culture. In order to separate these single cells from live cell clusters, we have employed density step gradient centrifugation. The protocol described here allows for the depletion of non-viable single cells from the healthy population of cell clusters that will be used for further in vitro experimentation. In our studies, we incorporate the 3D cultures in microfluidic plates which allow for media perfusion during culture. After assessing the resultant cultures using a fluorescent image-based viability assay of purified versus non-purified cells, our results show that this additional separation step substantially reduced the number of non-viable cells from our cultures.","Patient Derived Xenograft, 3D Bioprinting, 3D Cell Culture",,Not Applicable,,Open Access,Pan-cancer,,,33346184
PublicationView,"CA238720, CA210180",10.26508/lsa.202201466,Life Sci Alliance,37169593,https://pubmed.ncbi.nlm.nih.gov/37169593,Predictive data-driven modeling of C-terminal tyrosine function in the EGFR signaling network,2023,,"Jacqueline S Gerritsen, Joseph S Faraguna, Rudy Bonavia, Frank B Furnari, Forest M White","The epidermal growth factor receptor (EGFR) has been studied extensively because of its critical role in cellular signaling and association with disease. Previous models have elucidated interactions between EGFR and downstream adaptor proteins or showed phenotypes affected by EGFR. However, the link between specific EGFR phosphorylation sites and phenotypic outcomes is still poorly understood. Here, we employed a suite of isogenic cell lines expressing site-specific mutations at each of the EGFR C-terminal phosphorylation sites to interrogate their role in the signaling network and cell biological response to stimulation. Our results demonstrate the resilience of the EGFR network, which was largely similar even in the context of multiple Y-to-F mutations in the EGFR C-terminal tail, while also revealing nodes in the network that have not previously been linked to EGFR signaling. Our data-driven model highlights the signaling network nodes associated with distinct EGF-driven cell responses, including migration, proliferation, and receptor trafficking. Application of this same approach to less-studied RTKs should provide a plethora of novel associations that should lead to an improved understanding of these signaling networks.","Plasmid Construction, Flow Cytometry, Cell Culture, Liquid Chromatography Mass Spectrometry, Cell Proliferation Assay",,Not Applicable,,Open Access,Pan-cancer,,,37169593
PublicationView,CA241137,10.1016/j.jtbi.2023.111497,J Theor Biol,37087049,https://pubmed.ncbi.nlm.nih.gov/37087049,Statistical inference of the rates of cell proliferation and phenotypic switching in cancer,2023,"Maximum likelihood estimation, Epigenetics, Parameter Identifiability, Mathematical Modeling, Phenotypic Switching, Cancer Evolution","Einar Bjarki Gunnarsson, Jasmine Foo, Kevin Leder","Recent evidence suggests that nongenetic (epigenetic) mechanisms play an important role at all stages of cancer evolution. In many cancers, these mechanisms have been observed to induce dynamic switching between two or more cell states, which commonly show differential responses to drug treatments. To understand how these cancers evolve over time, and how they respond to treatment, we need to understand the state-dependent rates of cell proliferation and phenotypic switching. In this work, we propose a rigorous statistical framework for estimating these parameters, using data from commonly performed cell line experiments, where phenotypes are sorted and expanded in culture. The framework explicitly models the stochastic dynamics of cell division, cell death and phenotypic switching, and it provides likelihood-based confidence intervals for the model parameters. The input data can be either the fraction of cells or the number of cells in each state at one or more time points. Through a combination of theoretical analysis and numerical simulations, we show that when cell fraction data is used, the rates of switching may be the only parameters that can be estimated accurately. On the other hand, using cell number data enables accurate estimation of the net division rate for each phenotype, and it can even enable estimation of the state-dependent rates of cell division and cell death. We conclude by applying our framework to a publicly available dataset.","Mathematical Modeling, Computational Modeling ",,Not Applicable,,Restricted Access,Pan-cancer,,,37087049
PublicationView,"CA261694, CA210184",10.1016/j.tcb.2022.09.009,Trends Cell Biol,36328835,https://pubmed.ncbi.nlm.nih.gov/36328835,Plasticity of cancer invasion and energy metabolism,2023,"Metabolic Stress, Cellular Bioenergetics, Amoeboid Migration, Migration Plasticity","Maria Parlani, Carolina Jorgez, Peter Friedl","Energy deprivation is a frequent adverse event in tumors that is caused by mutations, malperfusion, hypoxia, and nutrition deficit. The resulting bioenergetic stress leads to signaling and metabolic adaptation responses in tumor cells, secures survival, and adjusts migration activity. The kinetic responses of cancer cells to energy deficit were recently identified, including a switch of invasive cancer cells to energy-conservative amoeboid migration and an enhanced capability for distant metastasis. We review the energy programs employed by different cancer invasion modes including collective, mesenchymal, and amoeboid migration, as well as their interconversion in response to energy deprivation, and we discuss the consequences for metastatic escape. Understanding the energy requirements of amoeboid and other dissemination strategies offers rationales for improving therapeutic targeting of metastatic cancer progression.",3D Cell Culture,,Not Applicable,,Open Access,Pan-cancer,,,36328835
